release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
29-Dec-22, Rise of Empires: Ottoman , United States , 01/24/2020 , History ,7.9,,1015,season 2 
28-Dec-22, The Circle , United States ,     Netflix , Relationship ,7.2,60,10757,season 5 
26-Dec-22, Treason , United Kingdom , 12/26/2022 , Crime ,6.3,,3846,season 1 
25-Dec-22, Time Hustler , Brazil , 12/25/2022 , Comedy ,5.6,,69,season 1 
25-Dec-22, The Witcher: Blood Origin , United States , 12/25/2022 , Fantasy ,4.7,30,4145,season 1 
23-Dec-22, The Fabulous , South Korea , 11/04/2022 , Comedy ,6.5,,414,season 1 
22-Dec-22, Alice in Borderland , Japan , 12/10/2020 , Mystery ,7.7,84,20658,season 2 
21-Dec-22, The Interest of Love , South Korea , 12/21/2022 , Drama ,6.6,,2139,
21-Dec-22, Emily in Paris , United States , 10/02/2020 , Drama ,6.9,62,60985,season 3 
21-Dec-22, I Am a Killer , United Kingdom , 05/29/2018 , Documentary ,7.4,82,1474,season 4 
19-Dec-22, Trolley , South Korea , 12/19/2022 , Mystery ,7,,193,season 1 
16-Dec-22, Summer Job , Italy , 12/16/2022 , Reality-Show ,5.6,,73,season 1 
16-Dec-22, Beast of Bangalore: Indian Predator , India , 12/16/2022 , Documentary ,6.2,,99,season 1 
16-Dec-22, Far from Home , Nigeria , 12/16/2022 , Drama ,5.7,,834,season 1 
16-Dec-22, Cook at all Costs , Canada , 12/16/2022 , Reality-Show ,6.4,,34,season 1 
16-Dec-22, Dance Monsters , United States , 12/16/2022 , Reality-Show ,5.6,,,season 1 
16-Dec-22, Julestorm , Norway , 12/16/2022 , Drama ,7.1,,1365,season 1 
16-Dec-22, The Recruit , United States , 12/16/2022 , Action ,7.4,69,10603,season 1 
16-Dec-22, Paradise PD , United States , 08/31/2018 , Animation ,6.8,44,1834,season 4 
14-Dec-22, Glitter , Poland , 12/14/2022 , Drama ,5.5,,145,season 1 
13-Dec-22, Gudetama: An Eggcellent Adventure , Japan , 12/13/2022 , Animation ,7.3,,115,season 1 
13-Dec-22, Single’s Inferno , United States , 12/18/2021 , Reality-Show ,7.1,,,season 2 
13-Dec-22, Single’s Inferno , South Korea , 01/01/2021 , Reality-Show ,7.2,44,6462,season 2 
13-Dec-22, Last Chance U: Basketball , United States , 03/10/2021 , Documentary ,8.3,100,429,season 2 
10-Dec-22, Alchemy of Souls , South Korea , 06/18/2022 , Fantasy ,8.8,,22791,season 2 
9-Dec-22, CAT , India , 12/09/2022 , Crime ,8.3,,1012,season 1 
9-Dec-22, Dragon Age: Absolution , United States , 12/09/2022 , Animation ,6.4,,59,season 1 
9-Dec-22, How To Ruin Christmas , South Africa , 12/16/2020 , Comedy ,6.4,,1205,season 3 
9-Dec-22, Dream Home Makeover , United States , 10/16/2020 , Reality-Show ,5.7,,1020,season 4 
8-Dec-22, Harry & Meghan , United States , 12/08/2022 , Documentary ,4.9,44,11060,
8-Dec-22, Lookism , South Korea , 11/04/2022 , Animation ,7.7,,494,season 1 
7-Dec-22, The Most Beautiful Flower , Mexico , 12/07/2022 , Comedy ,5.9,,132,season 1 
7-Dec-22, Smiley , Spain , 12/07/2022 , Comedy ,8,,163,season 1 
7-Dec-22, Odio Il Natale , Italy , 12/07/2022 , Comedy ,6.3,,1438,season 1 
7-Dec-22, Too Hot to Handle , United States , 04/17/2020 , Reality-Show ,4.7,,35050,season 4 
2-Dec-22, Sıcak Kafa , Turkey , 12/02/2022 , Drama ,7.2,,778,season 1 
2-Dec-22, My Unorthodox Life , United States , 07/14/2021 , Reality-Show ,5.7,33,678,season 2 
2-Dec-22, Firefly Lane , United States , 02/03/2021 , Drama ,7.5,48,29717,season 2 
1-Dec-22, Dead End , Poland , 12/01/2022 , Crime ,6,,86,
30-Nov-22, Take Your Pills: Xanax , United States , 11/30/2022 , Documentary ,6.1,,81,
30-Nov-22, Snack vs Chef , United States , 11/30/2022 , Reality-Show ,5.4,,492,season 1 
29-Nov-22, Crime Scene: The Texas Killing Fields , United States , 11/29/2022 , Documentary ,6.6,,995,
29-Nov-22, Crime Scene: The Vanishing at the Cecil Hotel , United States , 02/10/2021 , Documentary ,6,76,6240,season 3 
25-Nov-22, Blood & Water , South Africa , 05/20/2020 , Drama ,6.7,86,3340,season 3 
23-Nov-22," Blood, Sex & Royalty ", United Kingdom , 11/23/2022 , History ,5.9,,549,season 1 
23-Nov-22, Wednesday , United States , 11/23/2022 , Comedy ,8.1,71,58510,season 1 
23-Nov-22, Taco Chronicles , United States , 07/11/2019 , Documentary ,7.8,92,38,season 3 
22-Nov-22, Our Universe , United States , 11/22/2022 , Documentary ,7.6,,313,season 1 
18-Nov-22, Inside Job , United States , 10/22/2021 , Animation ,7.7,79,3198,season 2 
18-Nov-22, The Cuphead Show! , United States , 02/18/2022 , Animation ,7.4,87,2270,season 3 
18-Nov-22, Elite , Spain , 10/05/2018 , Crime ,7.3,93,36641,season 6 
