link,language,words,kudos,comments,bookmarks,hits
https://archiveofourown.org/works/26274640,English,"1,483",15,2,0,235
https://archiveofourown.org/works/26124490,English,280,26,3,1,193
https://archiveofourown.org/works/25932946,English,"1,958",289,25,32,2750
https://archiveofourown.org/works/25937359,English,"2,397",260,20,20,1932
https://archiveofourown.org/works/25935415,English,"1,066",81,8,6,870
https://archiveofourown.org/works/25926367,English,"1,156",249,23,23,2845
https://archiveofourown.org/works/25933117,English,"1,760",203,10,23,1742
https://archiveofourown.org/works/25932928,English,"3,298",475,29,64,3200
https://archiveofourown.org/works/25885444,English,"5,042",80,17,6,1095
https://archiveofourown.org/works/19175875,English,"65,621",109,39,20,1717
https://archiveofourown.org/works/24622858,English,"17,158",86,37,10,1616
https://archiveofourown.org/works/25723498,English,"1,600",39,2,3,568
https://archiveofourown.org/works/25713040,English,735,23,6,1,258
https://archiveofourown.org/works/24109855,English,"37,577",172,111,35,3306
https://archiveofourown.org/works/25332982,Русский,617,14,2,0,125
https://archiveofourown.org/works/25245310,Русский,419,1,1,0,23
https://archiveofourown.org/works/25245262,Русский,589,1,0,0,28
https://archiveofourown.org/works/25227376,Русский,539,1,0,0,53
https://archiveofourown.org/works/25193095,English,"1,640",181,5,15,4255
https://archiveofourown.org/works/22324132,English,"2,411",303,29,20,4341
https://archiveofourown.org/works/24737563,English,"13,523",24,2,3,355
https://archiveofourown.org/works/24849106,English,240,31,7,2,279
https://archiveofourown.org/works/24772948,English,"1,061",16,4,1,125
https://archiveofourown.org/works/23761342,English,"53,097",495,111,86,8486
https://archiveofourown.org/works/24644989,English,"4,074",71,10,11,840
https://archiveofourown.org/works/24573928,English,"6,369",55,15,6,455
https://archiveofourown.org/works/24522589,English,878,23,9,0,159
https://archiveofourown.org/works/24517390,English,396,74,9,3,1033
https://archiveofourown.org/works/24489085,English,481,20,5,0,200
https://archiveofourown.org/works/24437158,English,"7,497",26,10,1,401
https://archiveofourown.org/works/24390499,English,"1,128",112,4,8,1294
https://archiveofourown.org/works/24305455,English,"1,343",28,6,3,415
https://archiveofourown.org/works/24256678,English,"1,988",129,24,9,1098
https://archiveofourown.org/works/24187276,English,"1,242",326,24,40,3389
https://archiveofourown.org/works/24170476,English,"1,095",144,15,9,1172
https://archiveofourown.org/works/24163342,English,841,47,3,3,753
https://archiveofourown.org/works/23606863,English,"1,022",23,3,2,139
https://archiveofourown.org/works/23603995,English,"1,942",72,11,3,495
https://archiveofourown.org/works/23582608,English,"1,623",29,8,3,225
https://archiveofourown.org/works/23411062,English,"2,931",194,19,14,2587
https://archiveofourown.org/works/23349382,English,"5,585",56,18,7,379
https://archiveofourown.org/works/23323174,English,"2,100",102,3,5,1176
https://archiveofourown.org/works/23286004,English,"5,799",25,9,4,142
https://archiveofourown.org/works/23073532,English,"1,631",28,12,2,344
https://archiveofourown.org/works/23202952,English,993,21,11,0,226
https://archiveofourown.org/works/23129728,English,"10,158",47,21,7,532
https://archiveofourown.org/works/23019259,English,"2,065",10,0,1,82
https://archiveofourown.org/works/20301736,English,"3,870",55,4,4,1548
https://archiveofourown.org/works/22852282,English,"1,050",190,10,11,1791
https://archiveofourown.org/works/22852168,English,493,93,4,7,1312
https://archiveofourown.org/works/22391218,English,"7,991",107,14,9,1838
https://archiveofourown.org/works/22741834,English,"2,935",87,7,5,1243
https://archiveofourown.org/works/22516711,English,466,50,1,3,987
https://archiveofourown.org/works/22425019,English,"2,664",210,6,14,3744
https://archiveofourown.org/works/22289536,English,"1,342",89,0,4,927
https://archiveofourown.org/works/21887239,English,"4,002",17,8,3,174
https://archiveofourown.org/works/22232230,English,"1,235",42,14,0,414
https://archiveofourown.org/works/22169317,English,774,45,2,1,482
https://archiveofourown.org/works/22041079,English,"1,352",274,18,29,2548
https://archiveofourown.org/works/20204818,English,"2,321",86,12,4,678
https://archiveofourown.org/works/21949393,English,"3,145",107,4,9,1083
https://archiveofourown.org/works/21962311,English,"1,254",37,3,4,779
https://archiveofourown.org/works/21956920,English,"2,163",149,16,11,1240
https://archiveofourown.org/works/21939082,English,"2,272",34,13,2,377
https://archiveofourown.org/works/21907027,English,"6,742",379,44,47,3339
https://archiveofourown.org/works/21953947,English,627,54,3,3,548
https://archiveofourown.org/works/21953470,English,647,85,11,5,1059
https://archiveofourown.org/works/21944887,English,776,68,9,1,746
https://archiveofourown.org/works/21659164,English,"1,212",79,6,5,1294
https://archiveofourown.org/works/21585967,English,485,19,3,0,159
https://archiveofourown.org/works/21470785,English,"5,269",54,3,5,1480
https://archiveofourown.org/works/20869007,English,"9,971",19,7,0,168
https://archiveofourown.org/works/21403063,English,629,50,1,3,588
https://archiveofourown.org/works/21262232,English,"6,542",15,6,1,653
https://archiveofourown.org/works/21058028,English,"8,067",481,31,67,8172
https://archiveofourown.org/works/20915507,English,783,13,1,2,160
https://archiveofourown.org/works/20907440,English,664,23,0,2,422
https://archiveofourown.org/works/20907296,English,267,11,0,2,153
https://archiveofourown.org/works/20894279,English,"1,135",255,12,19,2805
https://archiveofourown.org/works/20478287,English,"5,302",67,5,2,4404
https://archiveofourown.org/works/20187292,English,"15,363",227,62,52,1663
https://archiveofourown.org/works/20517794,English,"7,591",270,35,32,3707
https://archiveofourown.org/works/20495744,English,"1,486",25,5,0,312
https://archiveofourown.org/works/17526290,English,"10,270",122,4,12,3609
https://archiveofourown.org/works/18703816,English,"9,994",150,37,14,2256
https://archiveofourown.org/works/20288608,English,"9,595",708,60,100,6409
https://archiveofourown.org/works/19340686,English,"13,847",114,25,17,2255
