release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
Nov 12022, Young Royals , Sweden , 07/01/2021 , Drama ,8.3,100,2808,season 2 
Nov 12022, Gabby's Dollhouse , United States , 01/05/2021 , Animation ,7.2,,5479,season 6 
Oct 302022, Under Fire , Belgium , 09/12/2021 , Drama ,6.8,,170,season 2 
Oct 282022, Indian Predator: Murder in a Courtroom , India , 10/28/2022 , Documentary ,7.2,,103,season 1 
Oct 282022, If Only , Spain , 10/28/2022 , Drama ,6.1,,1034,season 1 
Oct 282022, I Am a Stalker , United States , 10/28/2022 , Documentary ,6.4,,161,season 1 
Oct 282022, Drink Masters , United States , 10/28/2022 , Reality-Show ,6.7,,42,season 1 
Oct 282022, Shards of Her , Taiwan , 10/28/2022 , Crime ,6.9,,411,
Oct 282022, The Bastard Son & the Devil Himself , United Kingdom , 10/28/2022 , Fantasy ,7.5,,3039,season 1 
Oct 282022, Big Mouth , United States , 09/29/2017 , Animation ,7.9,99,6280,season 6 
Oct 272022, Romantic Killer , Japan , 10/27/2022 , Animation ,7.6,,123,season 1 
Oct 272022, Dubai Bling , United Arab Emirates , 10/27/2022 , Reality-Show ,3.7,,4788,season 1 
Oct 272022, Earthstorm , United States , 10/27/2022 , Documentary ,7.2,,20,season 1 
Oct 272022, Daniel Spellbound , United States , 10/27/2022 , Animation ,6.9,,121,season 1 
Oct 272022, Family Reunion , United States , 07/10/2019 , Comedy ,6.6,,2047,season 5 
Oct 252022, Pervert: Hunting the Strip Search Caller , United Kingdom , 10/25/2022 , Documentary , ,,185,season 1 
Oct 252022, Guillermo del Toro's Cabinet of Curiosities , United States , 10/25/2022 , Horror ,7,93,6322,season 1 
Oct 252022, MeatEater , United States , 01/01/2012 , Documentary ,7.6,,2,season 11 
Oct 242022, Bogdan Boner: Egzorcysta , Poland , 12/03/2020 , Animation ,5.9,,211,season 3 
Oct 212022, 28 Days Haunted , United States , 10/21/2022 , Reality-Show ,3.5,,623,season 1 
Oct 212022, From Scratch , United States , 10/21/2022 , Drama ,7.9,,14573,season 1 
Oct 212022, Barbarians , Germany , 10/23/2020 , History ,7.2,86,13124,season 2 
Oct 202022, Vatican Girl: The Disappearance of Emanuela Orlandi , United States , 10/20/2022 , Documentary ,7.1,,945,season 1 
Oct 202022, One of Us Is Lying , United States , 10/07/2021 , Crime ,6.9,90,12370,season 2 
Oct 202022, Inside Amy Schumer , United States , 04/30/2013 , Situation ,7.2,81,,season 5 
Oct 192022," Notre-Dame, la part du feu ", France , 10/19/2022 , Drama ,5.1,,114,season 1 
