,fanfic_id,series_name
508,48095515,Stem the Tide (L&Co Angst Week 2023)
509,48085939,The Stupidity of Love
510,48019540,Stem the Tide (L&Co Angst Week 2023)
511,48196072,l&co oneshots
512,48031762,IndyScrib's Lockwood & Co Angst Week 2023
513,47980660,Lockwood and Co Angst 2023
514,48004510,lockwood & co angst week 2023
515,48023983,lockwood & co angst week 2023
516,48208957,How They Become Them
517,48311128,Falling in COT3
518,48060256,lockwood & co angst week 2023
519,47981308,Lockwood & Co Angst Week (2023)
520,48165481,confiteor
521,48205993,Borrowed Time
522,48171700,lockwood & co angst week 2023
523,48208477,How They Become Them
524,48191224,lockwood & co angst week 2023
525,48106315,nothing we can do to protect you
526,48053065,Lockwood & Co Angst Week (2023)
527,48047875,lockwood & co angst week 2023
528,48136435,Say You Want Me
529,48091924,Better than Before
530,48116380,Odd Situations make for good friends
531,48078073,IndyScrib's Lockwood & Co Angst Week 2023
532,47964064,can’t leave the night / shared nightmares
533,47996065,Stem the Tide (L&Co Angst Week 2023)
534,48008644,IndyScrib's Lockwood & Co Angst Week 2023
535,48139093,Lockwood & Co Angst Week (2023)
536,47728960,Death For A Living - L&Co Angst Week 2023
537,48194047,stepped into a cruel world
538,48053110,IndyScrib's Lockwood & Co Angst Week 2023
539,48213859,Stem the Tide (L&Co Angst Week 2023)
540,48211540,Summer and Winter
541,47975755,Death For A Living - L&Co Angst Week 2023
542,47949136,If I could see your face
543,48062422,Sweet Somethings
544,48118678,Chaos Discord's Birthday Fics
545,48030172,Lockwood and Co Angst 2023
546,48048670,Stem the Tide (L&Co Angst Week 2023)
547,48313270,Lockwood and Co Angst 2023
548,47940577,l&co oneshots
549,48076579,Death For A Living - L&Co Angst Week 2023
550,48000253,Lockwood and Co Angst 2023
551,48205195,TARDIS & Co.
552,48112156,Borrowed Time
553,47974699,L&Co Angst Week 2023
554,48078289,Lockwood & Co Angst Week (2023)
555,48000049,Our home in Portland Row 35
556,48170050,Lockwood & Co Angst Week (2023)
557,47917651,stepped into a cruel world
558,47988043,IndyScrib's Lockwood & Co Angst Week 2023
559,48118483,Stem the Tide (L&Co Angst Week 2023)
560,48167488,Stem the Tide (L&Co Angst Week 2023)
561,48016129,Lockwood & Co Angst Week (2023)
562,48266905,Lockwood & Co works
563,48362479,Better than Before
564,48512188,As London Burns
565,48506008,in each and every universe
566,48265411,i could walk in my garden forever
567,48431602,As London Burns
568,48399796,Camping
569,48381313,no one wins this kind of thing
570,48474718,As London Burns
571,48366109,far away and breathing cleaner air
