,fanfic_id,kudos,bookmarks,comments,hits,date_scraped
441,47333542,202,13,13,"1,296",2023-08-24
442,47024770,76,4,11,467,2023-08-24
443,46528807,90,4,2,544,2023-08-24
444,46952011,9,1,3,104,2023-08-24
445,44902558,216,19,11,"3,147",2023-08-24
446,47232418,208,34,188,"2,370",2023-08-24
447,46516177,84,,4,704,2023-08-24
448,47019994,392,51,162,"4,893",2023-08-24
449,45974899,160,15,38,"1,112",2023-08-24
450,47577928,62,3,16,575,2023-08-24
451,44974048,197,11,4,"2,109",2023-08-24
452,47238895,145,12,18,"1,015",2023-08-24
453,46997644,106,16,38,"2,677",2023-08-24
454,47042248,101,8,18,626,2023-08-24
455,47722444,48,6,19,"1,009",2023-08-24
456,47200042,109,14,30,569,2023-08-24
457,44816296,30,1,,377,2023-08-24
458,44931259,289,26,33,"1,672",2023-08-24
459,47519422,83,10,21,778,2023-08-24
460,46125103,236,38,14,"1,632",2023-08-24
461,47422114,18,1,2,218,2023-08-24
462,47564686,82,3,16,632,2023-08-24
463,47558008,169,23,16,"1,383",2023-08-24
464,46025245,15,1,,107,2023-08-24
465,46868860,35,5,1,517,2023-08-24
466,45095500,670,134,84,"4,321",2023-08-24
467,47784598,70,8,111,"1,433",2023-08-24
468,44907388,309,49,167,"4,984",2023-08-24
469,47660152,83,5,9,"1,102",2023-08-24
470,46858405,8,,,43,2023-08-24
471,47048677,83,12,14,717,2023-08-24
472,46827523,22,,4,234,2023-08-24
473,47088610,114,5,12,"1,459",2023-08-24
474,47721877,,,,,2023-08-24
475,46931593,145,7,76,"4,208",2023-08-24
476,44980867,,,,,2023-08-24
477,45965872,179,17,17,"2,045",2023-08-24
478,47536093,78,6,10,560,2023-08-24
479,47356699,209,15,72,"1,525",2023-08-24
480,45946240,46,,9,760,2023-08-24
481,47116942,70,9,13,528,2023-08-24
482,47596612,,,,,2023-08-24
483,47292367,27,6,3,161,2023-08-24
484,47693434,171,14,12,"1,647",2023-08-24
485,47659378,126,9,48,"1,515",2023-08-24
486,47855992,47,1,9,361,2023-08-24
